id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
1598,2017/08/13 10:27:20 am GMT+3,Выпускник мехмата. Аналитик Сбербанка. Люблю футбол),Да,"Изучение нового, закрепление старого материала на практике. Интересные знакомства.",Футбол,Да,4,3,-12,2.0,Да,Да,По нулям,Игры разума
1599,2017/08/13 10:46:04 am GMT+3,Я работаю инженером-программистом в техническом институте,Нет,Знаний,Альпинизм,Да,5,3,-12,2.0,"def fib(max): 	a, b = 0, 1 	while a < max: 		yield a 		a, b = b, a + b 		 for n in fib(99): 	print (n)",Да,Могу редактировать свою копию,Игры разума
1600,2017/08/13 11:35:06 am GMT+3,"Студентка программы ""Журналистика данных"",",Да,Полезные навыки работы с данными с помощью программирования ,Любой экстремальный ,Да,3,3,-15,1.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Игры разума, Доказательство"
1601,2017/08/13 11:54:09 am GMT+3,"Преподаватель: Programming, ML, Big Data, Parallel Computing",Да,Узнать какие-либо абсолютно новые cutting-edge алгоритмы ML; интересно поработать с наборами данных с изображениями,Бодибилдинг,Да,3,3,-12,2.0,Да,Да,Могу редактировать свою копию,Горбатая гора
1602,2017/08/13 12:23:17 pm GMT+3,"Зовут Вячеслав, родом из Костромы, закончил университет по специальности Информационная безопасность. ",Да,"Погружения в атмосферу DataScience, получение новых знаний и применение их для практических целей.",Плавание,Да,3,0.5,-12,2.0,Да,Да,Могу редактировать свою копию,Не смотрел.
1603,2017/08/13 12:34:37 pm GMT+3,"Программист на Java, участвовал в прошлом курсе",Да,Что-то нового,Сноуборд,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Не знаю
1604,2017/08/13 12:37:19 pm GMT+3,"Студент МАИ, который любит программирование и хочет повысить свой уровень знаний в данной области.",Нет,Нового опыта и знаний.,,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
1605,2017/08/13 1:06:29 pm GMT+3,"системный администратор, в душе - программист, активно интересуюсь data science",Нет,"больше практики, познакомиться с наиболее перспективными направлениями машинного обучения",серфинг,Да,3,3,-12,2.0,Нет,Да,По нулям,
1606,2017/08/13 1:18:36 pm GMT+3,"Закончил мех-мат КазГУ (г.Алматы), на данный момент работаю в сфере IT",Как новичок,Прокачать свои знания в области,Шахматы,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
1607,2017/08/13 1:46:47 pm GMT+3,Занимаюсь фин мониторингом в банке. Люблю спорт и горы. ,Да,Работы мозга,Триатлон ,Да,2,0.5,2,2.0,Теперь смогу;),Да,Могу редактировать свою копию,Игры разума
